time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	4.072270	1.238156	-0.143392	0.004928	0.001107	-0.004738
0.000100	0.810423	-2.269229	-0.108378	0.001062	-0.002115	-0.003932
0.000200	-1.129206	4.298339	0.143223	-0.001516	0.004007	0.004928
0.000300	2.388265	2.444085	0.071395	0.002834	0.002234	0.003639
0.000400	2.237397	1.744012	0.014082	0.002673	0.001590	0.001223
0.000500	1.404703	0.183713	0.108314	0.001706	0.000140	0.005250
0.000600	-0.044923	0.328809	0.059804	-6.584881E-5	0.000301	0.002512
0.000700	1.143923	0.342684	0.011182	0.001384	0.000301	0.000901
0.000800	-1.232801	0.324390	0.201371	-0.001516	0.000301	0.008150
0.000900	-1.643482	-0.207255	0.139870	-0.001999	-0.000182	0.005412
0.001000	1.641054	-0.857829	0.034623	0.002028	-0.000826	0.002351
0.001100	2.444589	-0.355100	-0.249726	0.002995	-0.000343	-0.009732
0.001200	-2.172339	-0.218129	0.115214	-0.002643	-0.000182	0.004123
0.001300	2.205324	0.529220	-0.020593	0.002673	0.000462	-6.576181E-5
0.001400	-0.705182	0.323159	0.107058	-0.000871	0.000301	0.004284
0.001500	2.860078	0.352302	-0.161496	0.003478	0.000301	-0.005865
0.001600	-1.830963	2.728275	0.120932	-0.002321	0.002557	0.003962
0.001700	-0.687688	1.009166	0.046674	-0.000871	0.000946	0.001545
0.001800	1.111811	-0.872486	-0.027211	0.001384	-0.000826	-0.000549
0.001900	0.870380	-0.009350	-0.006273	0.001062	-2.094482E-5	9.533626E-5
0.002000	-1.361328	0.486459	0.114121	-0.001677	0.000462	0.004284
0.002100	4.315247	0.390151	-0.015619	0.005250	0.000301	0.001062
0.002200	0.191622	-0.710841	0.004702	0.000256	-0.000665	0.000418
0.002300	-2.169232	-0.059017	-0.021639	-0.002643	-2.094482E-5	-0.001838
0.002400	2.432252	-0.861945	-0.129153	0.002995	-0.000826	-0.004415
0.002500	1.931240	0.171890	-0.090097	0.002351	0.000140	-0.003127
0.002600	0.080241	0.133829	-0.176392	9.524939E-5	0.000140	-0.007637
0.002700	-0.707154	0.303867	-0.082549	-0.000871	0.000301	-0.003932
0.002800	-0.510211	-2.281662	-0.025024	-0.000549	-0.002115	-0.000871
0.002900	-0.463867	-0.541111	0.074967	-0.000549	-0.000504	0.003156
0.003000	-1.652867	-0.556500	0.108718	-0.001999	-0.000504	0.004123
0.003100	-0.064156	-0.374221	-0.047112	-6.584881E-5	-0.000343	-0.001999
0.003200	-0.204866	-0.717484	0.001081	-0.000227	-0.000665	9.533626E-5
0.003300	1.694888	1.213431	-0.016406	0.002028	0.001107	-0.000227
0.003400	-3.074145	0.638223	0.172252	-0.003771	0.000623	0.006056
0.003500	1.922783	-0.168276	-0.032022	0.002351	-0.000182	-0.000549
0.003600	3.070866	-1.711628	-0.079550	0.003801	-0.001632	-0.001838
0.003700	1.806477	0.499501	-0.250998	0.002190	0.000462	-0.010215
0.003800	0.346680	0.158937	0.029260	0.000417	0.000140	0.001384
0.003900	-0.414184	1.360822	0.060412	-0.000549	0.001268	0.002190
0.004000	2.032618	-1.028078	0.000361	0.002512	-0.000988	0.001062
0.004100	0.337372	-0.189551	0.005544	0.000417	-0.000182	0.000418
0.004200	-1.621876	0.647700	0.039295	-0.001999	0.000623	0.000901
0.004300	1.671040	0.336535	-0.131462	0.002028	0.000301	-0.005060
0.004400	1.640126	-0.866908	-0.054604	0.002028	-0.000826	-0.001516
0.004500	2.529168	2.789240	0.041791	0.002995	0.002557	0.002351
0.004600	-0.224293	-1.422405	-0.124424	-0.000227	-0.001310	-0.005221
0.004700	1.166070	1.202935	-0.037344	0.001384	0.001107	-0.001355
0.004800	-3.878632	0.254886	-0.070619	-0.004738	0.000301	-0.004738
0.004900	1.691240	1.049022	0.068398	0.002028	0.000946	0.003478
0.005000	1.358359	-1.556838	0.008323	0.001706	-0.001471	0.001223
0.005100	0.243046	-3.815390	0.083691	0.000417	-0.003565	0.004445
0.005200	4.298734	-0.157548	-0.296566	0.005250	-0.000182	-0.011020
0.005300	-3.194060	1.141970	0.041798	-0.003932	0.001107	0.000256
0.005400	4.922832	-1.664110	0.099689	0.006056	-0.001632	0.006700
0.005500	-3.652028	-1.268154	0.225354	-0.004416	-0.001149	0.008472
0.005600	4.932602	3.712423	0.241774	0.005895	0.003362	0.011855
0.005700	-0.110036	-2.110232	-0.102490	-6.584881E-5	-0.001954	-0.004093
0.005800	-1.012576	-1.261068	-0.116090	-0.001194	-0.001149	-0.005221
0.005900	-4.210470	-2.340760	-0.030314	-0.005060	-0.002115	-0.002643
0.006000	-1.954565	3.067236	0.071564	-0.002482	0.002879	0.001706
0.006100	1.290408	0.871162	0.082662	0.001545	0.000785	0.003962
0.006200	5.804823	1.794339	-0.046276	0.007022	0.001590	9.533626E-5
0.006300	-0.659765	-2.968874	0.044067	-0.000710	-0.002760	0.002190
0.006400	2.355148	1.219080	-0.063659	0.002834	0.001107	-0.001999
0.006500	-5.800071	2.491765	0.113763	-0.007154	0.002396	0.002029
0.006600	0.988247	-0.533147	-0.072861	0.001223	-0.000504	-0.002643
0.006700	3.741128	-1.350682	-0.036168	0.004606	-0.001310	0.000256
0.006800	1.328542	-2.620840	-0.244996	0.001706	-0.002437	-0.009571
0.006900	-6.215792	-3.241412	-0.070530	-0.007476	-0.002921	-0.005060
0.007000	2.953617	3.841726	0.120277	0.003478	0.003523	0.005734
0.007100	-1.302454	2.735745	0.112128	-0.001677	0.002557	0.003801
