time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	1.635872	-1.496712	-0.104535	0.002044	-0.001408	-0.003564
0.000100	-2.005434	0.694233	-0.104382	-0.002467	0.000686	-0.005497
0.000200	2.829217	-1.310105	-0.156171	0.003494	-0.001247	-0.005336
0.000300	-0.411605	1.055295	-0.203741	-0.000534	0.001008	-0.009202
0.000400	1.148590	0.057585	-0.052211	0.001399	4.164354E-5	-0.001792
0.000500	1.579833	1.433971	-0.191664	0.001883	0.001330	-0.007913
0.000600	-5.433942	0.840918	0.171040	-0.006655	0.000847	0.004974
0.000700	-1.256327	-1.008822	0.040805	-0.001500	-0.000925	0.001430
0.000800	-2.732562	3.127175	0.121308	-0.003434	0.002941	0.003525
0.000900	1.008151	-0.283030	0.022007	0.001238	-0.000281	0.001430
0.001000	-1.298520	-2.580046	-0.095659	-0.001500	-0.002375	-0.004208
0.001100	-4.472682	2.239527	0.167776	-0.005528	0.002136	0.004974
0.001200	-2.588434	-1.390928	-0.107752	-0.003111	-0.001247	-0.005497
0.001300	5.143030	1.314215	-0.222985	0.006232	0.001169	-0.007752
0.001400	1.091841	2.852610	0.228015	0.001238	0.002619	0.009807
0.001500	1.157419	0.272685	0.361166	0.001399	0.000203	0.016090
0.001600	-3.359973	-0.679621	0.203836	-0.004078	-0.000603	0.007552
0.001700	-0.299760	0.215165	0.021966	-0.000373	0.000203	0.000786
0.001800	1.177982	-3.906079	0.086456	0.001561	-0.003664	0.004974
0.001900	2.029176	-1.649938	0.028503	0.002527	-0.001569	0.002397
0.002000	2.105235	1.282328	-0.063615	0.002527	0.001169	-0.002114
0.002100	-0.517727	-3.072092	0.047026	-0.000534	-0.002858	0.002397
0.002200	-4.350548	-3.137314	0.002112	-0.005206	-0.002858	-0.001147
0.002300	-3.348835	4.839001	0.041768	-0.004239	0.004552	-0.000503
0.002400	1.817924	0.409453	-0.098055	0.002205	0.000364	-0.003564
0.002500	-0.077022	-1.345705	-0.053839	-5.045599E-5	-0.001247	-0.002114
0.002600	0.259315	1.422673	-0.097157	0.000272	0.001330	-0.004369
0.002700	-0.787312	-3.256691	-0.025490	-0.000856	-0.003019	-0.000825
0.002800	2.203158	-0.080157	0.130235	0.002688	-0.000119	0.006585
0.002900	1.855696	-3.214802	-0.024898	0.002366	-0.003019	0.000303
0.003000	6.471720	1.534182	0.032683	0.007843	0.001330	0.003847
0.003100	-0.720058	-0.667995	-0.092994	-0.000856	-0.000603	-0.004208
0.003200	-5.560677	1.149237	-0.179468	-0.006817	0.001169	-0.010330
0.003300	3.100580	-1.108105	0.087364	0.003816	-0.001086	0.005297
0.003400	0.890168	0.239632	0.077441	0.001077	0.000203	0.003686
0.003500	0.411768	2.138257	0.112585	0.000433	0.001975	0.004652
0.003600	-3.580531	-3.992223	-0.020194	-0.004239	-0.003664	-0.001631
0.003700	1.484757	2.695600	0.323875	0.001722	0.002458	0.014157
0.003800	-0.933566	1.240606	-0.000908	-0.001178	0.001169	-0.000664
0.003900	-1.233832	-0.145167	0.025740	-0.001500	-0.000119	0.000625
0.004000	-2.735886	-1.928862	-0.272176	-0.003272	-0.001730	-0.012585
0.004100	-0.328379	4.186395	-0.042347	-0.000534	0.003908	-0.002758
0.004200	0.743490	-0.290737	-0.012628	0.000916	-0.000281	-0.000181
0.004300	-0.048906	-0.298348	0.035897	-5.045599E-5	-0.000281	0.001591
0.004400	5.633832	-5.229162	-0.010747	0.007038	-0.004952	0.002880
0.004500	5.026981	1.855792	0.018338	0.006071	0.001653	0.002558
0.004600	3.643089	-0.577524	0.117851	0.004460	-0.000603	0.006747
0.004700	-3.553188	-2.952432	-0.004813	-0.004239	-0.002697	-0.001147
0.004800	-2.587739	3.639387	0.032924	-0.003272	0.003425	-0.000342
0.004900	0.801128	1.946444	-0.133589	0.000916	0.001814	-0.005819
0.005000	2.288292	3.198329	0.039526	0.002688	0.002941	0.002075
0.005100	5.071470	-1.445320	-0.133879	0.006232	-0.001408	-0.003403
0.005200	3.691148	1.308521	-0.052850	0.004460	0.001169	-0.000986
