time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	0.771159	-4.279762	0.147109	0.001076	-0.004011	0.007503
2.500000E-5	0.446502	-1.524221	0.080407	0.000592	-0.001434	0.003959
5.000000E-5	4.333595	5.768776	-0.245331	0.005103	0.005332	-0.009896
7.500000E-5	-3.097099	-0.569182	-0.182171	-0.003757	-0.000467	-0.009090
1.000000E-4	-2.494608	-2.930698	0.314658	-0.002952	-0.002723	0.013141
0.000125	4.812382	3.873934	-0.243298	0.005748	0.003560	-0.009251
0.000150	-0.037673	0.189189	-0.004122	-5.194702E-5	0.000177	-0.000230
0.000175	-1.486487	0.342229	0.025442	-0.001824	0.000338	0.000414
0.000200	1.061344	1.773462	0.096145	0.001237	0.001627	0.004281
0.000225	2.363402	1.089296	-0.030923	0.002848	0.000983	-0.000552
0.000250	-0.711623	-0.336545	0.033582	-0.000857	-0.000306	0.001220
0.000275	-2.145741	0.346415	0.169357	-0.002630	0.000338	0.006375
0.000300	-0.722337	-0.827501	0.310301	-0.000857	-0.000789	0.013302
0.000325	3.832313	1.776457	-0.306054	0.004620	0.001627	-0.011990
0.000350	-4.326205	-2.135367	-0.084124	-0.005207	-0.001917	-0.005063
0.000375	-1.785632	-1.032573	0.159905	-0.002146	-0.000951	0.006375
0.000400	-1.558034	2.735047	-0.245972	-0.001985	0.002594	-0.011829
0.000425	-0.889989	2.945582	0.019772	-0.001180	0.002755	-6.885988E-5
0.000450	0.515046	1.205808	-0.298685	0.000592	0.001144	-0.012957
0.000475	-3.148227	-2.613961	0.129102	-0.003757	-0.002400	0.004764
0.000500	1.581513	-3.581605	0.082813	0.002042	-0.003367	0.004925
0.000525	1.418191	0.233847	0.208674	0.001720	0.000177	0.009597
0.000550	3.587273	2.475562	-0.196595	0.004298	0.002271	-0.007479
0.000575	-3.920680	-1.782884	-0.082812	-0.004724	-0.001595	-0.004902
0.000600	-1.773024	-0.523081	0.065357	-0.002146	-0.000467	0.002187
0.000625	1.042768	1.076863	0.052431	0.001237	0.000983	0.002509
