time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	-3.236337	0.373018	0.051547	-0.003959	0.000390	0.000805
2.500000E-5	-0.118615	-1.648504	0.098081	-9.294702E-5	-0.001543	0.004511
5.000000E-5	2.960251	-0.056363	-0.032640	0.003612	-9.304288E-5	-0.000161
7.500000E-5	1.898772	4.779849	0.065455	0.002162	0.004418	0.002739
1.000000E-4	-2.945108	1.412950	0.027207	-0.003637	0.001357	-0.000322
0.000125	4.153079	-0.003524	0.301669	0.005062	-9.304288E-5	0.014821
0.000150	3.411424	2.029861	0.001744	0.004096	0.001840	0.001128
0.000175	1.068605	3.372988	-0.032932	0.001196	0.003129	-0.001611
0.000200	-0.679817	2.146687	0.086482	-0.000898	0.002001	0.003061
0.000225	5.367179	1.029715	0.067668	0.006512	0.000874	0.004994
0.000250	-0.890373	4.212887	0.026843	-0.001221	0.003934	-5.602166E-8
0.000275	-1.441377	3.341762	0.050713	-0.001865	0.003129	0.000967
0.000300	0.104702	1.819806	0.151798	6.815119E-5	0.001679	0.006283
0.000325	0.328870	0.272934	0.213551	0.000390	0.000229	0.009344
0.000350	4.162633	0.476084	-0.086583	0.005062	0.000390	-0.002094
0.000375	0.421921	-1.137216	-0.061038	0.000551	-0.001060	-0.002255
0.000400	1.423905	1.818242	-0.069113	0.001679	0.001679	-0.002739
0.000425	-1.496951	1.253479	-0.065558	-0.001865	0.001196	-0.003705
0.000450	-1.284733	-0.796455	0.153944	-0.001543	-0.000737	0.006283
0.000475	1.835978	2.363506	0.126228	0.002162	0.002162	0.005799
0.000500	-0.243224	3.704126	0.025807	-0.000415	0.003451	0.000322
0.000525	1.223934	-0.778090	-0.056105	0.001518	-0.000737	-0.001772
0.000550	-1.259595	0.221774	-0.042587	-0.001543	0.000229	-0.002417
0.000575	-1.277127	-0.464611	0.014078	-0.001543	-0.000415	0.000161
0.000600	-2.106830	-1.866932	-0.039696	-0.002509	-0.001704	-0.002255
0.000625	-1.594733	-2.534877	0.115981	-0.001865	-0.002348	0.004833
0.000650	-2.096363	-1.507095	0.095553	-0.002509	-0.001382	0.003544
0.000675	2.628220	2.369604	0.062832	0.003129	0.002162	0.003383
0.000700	1.163396	1.979861	-0.140221	0.001357	0.001840	-0.005961
0.000725	-0.990513	0.401455	-0.018401	-0.001221	0.000390	-0.001289
0.000750	4.858213	1.728301	0.213131	0.005868	0.001518	0.010955
0.000775	-0.447772	0.934306	0.034393	-0.000576	0.000874	0.001128
0.000800	1.592538	-1.816535	-0.119914	0.002001	-0.001704	-0.004189
0.000825	0.706008	4.598917	0.172857	0.000713	0.004257	0.006927
0.000850	0.284048	-1.324015	-0.175722	0.000390	-0.001221	-0.007249
0.000875	-2.558120	1.069213	-0.011477	-0.003154	0.001035	-0.001772
0.000900	-2.428200	-4.102742	0.135858	-0.002832	-0.003798	0.005638
0.000925	-0.658753	2.996345	-0.066141	-0.000898	0.002807	-0.003705
0.000950	-0.537638	-2.519180	0.105808	-0.000576	-0.002348	0.004833
0.000975	1.952492	1.826469	-0.070482	0.002324	0.001679	-0.002578
0.001000	-4.927741	1.377845	-0.009485	-0.006054	0.001357	-0.002739
0.001025	-0.585336	0.750534	-0.050549	-0.000737	0.000712	-0.002578
0.001050	0.034934	-0.793479	-0.022354	6.815119E-5	-0.000737	-0.000806
0.001075	1.008802	1.114622	-0.120166	0.001196	0.001035	-0.004994
0.001100	-4.426342	0.347794	-0.011364	-0.005409	0.000390	-0.002417
0.001125	0.029043	-0.979829	-0.153180	6.815119E-5	-0.000899	-0.006444
0.001150	-2.736447	-0.671787	-0.095325	-0.003315	-0.000576	-0.005155
0.001175	-0.517810	-1.681627	-0.165784	-0.000576	-0.001543	-0.007088
0.001200	2.668713	-1.099322	-0.038042	0.003290	-0.001060	-0.000322
