time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	1.820930	-1.316696	-0.058785	0.002263	-0.001248	-0.001537
0.000100	0.808903	0.395675	-0.071308	0.000975	0.000363	-0.002825
0.000200	-2.580699	2.081429	0.024568	-0.003214	0.001974	-0.000409
0.000300	-2.760586	0.196449	0.226283	-0.003375	0.000202	0.008613
0.000400	-4.219635	-0.008079	0.142904	-0.005147	4.115324E-5	0.004424
0.000500	0.819254	0.754377	0.052788	0.000975	0.000686	0.002491
0.000600	-1.094578	-1.700405	0.023548	-0.001281	-0.001570	0.000880
0.000700	1.031641	-1.165194	-0.147113	0.001297	-0.001087	-0.005725
0.000800	-0.370829	0.728396	-0.017558	-0.000475	0.000686	-0.001053
0.000900	-2.634649	0.009035	0.064443	-0.003214	4.115324E-5	0.001685
0.001000	1.569805	-0.805832	-0.098741	0.001941	-0.000764	-0.003470
0.001100	-0.543380	-0.827389	0.018267	-0.000636	-0.000764	0.000719
0.001200	1.150010	-1.684074	-0.165369	0.001458	-0.001570	-0.006370
0.001300	-4.844868	1.358663	0.073109	-0.005953	0.001330	0.000880
0.001400	-0.280266	-0.834813	-0.095809	-0.000314	-0.000764	-0.004114
0.001500	-1.865715	-0.856466	-0.061961	-0.002247	-0.000764	-0.003309
0.001600	1.019574	-1.669391	-0.000516	0.001297	-0.001570	0.000719
0.001700	1.168161	-0.991636	-0.162551	0.001458	-0.000925	-0.006370
0.001800	-1.851484	-0.331086	-0.000363	-0.002247	-0.000281	-0.000731
0.001900	-2.620882	0.529876	0.081428	-0.003214	0.000524	0.002330
0.002000	0.836748	1.440383	-0.007595	0.000975	0.001330	-0.000248
0.002100	-1.891395	-1.879991	0.082522	-0.002247	-0.001731	0.003135
0.002200	-0.352214	1.425373	0.029874	-0.000475	0.001330	0.000880
0.002300	-0.216274	1.593257	-0.041331	-0.000314	0.001491	-0.002181
0.002400	5.033944	0.297078	0.002547	0.006130	0.000202	0.002169
0.002500	3.853633	0.624125	0.000530	0.004680	0.000524	0.001524
0.002600	0.904467	-0.989886	-0.104241	0.001136	-0.000925	-0.003953
0.002700	1.479745	0.762296	0.027841	0.001780	0.000686	0.001685
0.002800	-3.686820	0.170231	0.112498	-0.004503	0.000202	0.003296
0.002900	1.334846	0.249328	0.108790	0.001619	0.000202	0.005229
0.003000	1.041605	-0.810275	-0.060195	0.001297	-0.000764	-0.002020
0.003100	-0.908258	0.376221	0.004708	-0.001120	0.000363	-0.000248
0.003200	0.649230	-0.647970	-0.104006	0.000813	-0.000603	-0.004114
0.003300	-2.671067	-1.376975	0.047652	-0.003214	-0.001248	0.001202
0.003400	1.474589	0.583134	-0.032348	0.001780	0.000524	-0.000892
0.003500	-0.847450	2.644422	0.188604	-0.001120	0.002458	0.007324
0.003600	1.341679	0.573606	-0.105432	0.001619	0.000524	-0.004114
0.003700	0.895817	-1.331943	-0.064755	0.001136	-0.001248	-0.002181
0.003800	-2.616498	0.701472	0.067261	-0.003214	0.000686	0.001685
0.003900	-3.032027	-0.006308	-0.024687	-0.003697	4.115324E-5	-0.002342
0.004000	-1.955698	0.712417	0.072057	-0.002409	0.000686	0.002169
0.004100	1.694104	-1.137983	0.017547	0.002102	-0.001087	0.001685
0.004200	1.997709	0.409172	-0.123648	0.002424	0.000363	-0.004598
0.004300	0.640386	-0.991919	-0.083109	0.000813	-0.000925	-0.003148
0.004400	-3.171808	-0.340492	0.112733	-0.003858	-0.000281	0.003618
0.004500	-1.809020	1.242787	0.162126	-0.002247	0.001169	0.006035
0.004600	1.358037	1.119793	0.160644	0.001619	0.001008	0.007324
0.004700	-1.567512	0.380407	0.148624	-0.001925	0.000363	0.005713
0.004800	-4.901346	4.156336	0.379359	-0.006114	0.003908	0.013607
0.004900	3.429416	-0.426092	-0.055650	0.004197	-0.000442	-0.000892
0.005000	3.411303	-1.118151	-0.054751	0.004197	-0.001087	-0.000731
0.005100	-0.147588	-0.827555	-0.045032	-0.000153	-0.000764	-0.001859
0.005200	2.195787	-2.036537	-0.392582	0.002747	-0.001892	-0.015713
0.005300	-2.666839	-1.206892	0.018615	-0.003214	-0.001087	-8.676181E-5
0.005400	-2.039595	-2.553962	0.281735	-0.002409	-0.002375	0.011834
0.005500	1.152483	3.363642	0.146324	0.001297	0.003102	0.006196
0.005600	-1.747230	-1.374211	-0.069065	-0.002086	-0.001248	-0.003470
0.005700	1.556037	-1.326673	-0.115726	0.001941	-0.001248	-0.004114
0.005800	0.708260	-3.420675	-0.164883	0.000975	-0.003181	-0.006208
0.005900	-5.735766	-2.315642	-0.201739	-0.006919	-0.002053	-0.010719
0.006000	-3.253295	-3.454569	0.118638	-0.003858	-0.003181	0.004424
0.006100	3.936898	-1.267902	0.091887	0.004841	-0.001248	0.005874
0.006200	-2.546755	-1.580277	-0.270335	-0.003053	-0.001409	-0.012491
0.006300	2.441664	-2.856169	0.014024	0.003069	-0.002698	0.002169
0.006400	-1.846158	-0.021561	-0.359577	-0.002247	4.115324E-5	-0.016358
0.006500	1.313510	-0.602978	0.235389	0.001619	-0.000603	0.010868
0.006600	0.080074	2.811973	-0.009199	7.954777E-6	0.002619	-0.000892
0.006700	-4.048320	-3.487904	-0.085645	-0.004825	-0.003181	-0.004759
0.006800	1.312790	-0.481317	-0.269524	0.001619	-0.000442	-0.011041
