time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	-0.433205	-1.043781	-0.004653	-0.000495	-0.000965	-0.000188
2.500000E-5	1.915274	-2.202828	0.138542	0.002405	-0.002093	0.007223
5.000000E-5	2.382471	0.555028	-0.028733	0.002888	0.000485	-0.000349
7.500000E-5	1.302417	-0.328863	-0.048108	0.001599	-0.000321	-0.001477
1.000000E-4	-0.383444	0.858909	-0.011773	-0.000495	0.000807	-0.000832
0.000125	-1.080740	-0.538803	-0.040794	-0.001300	-0.000482	-0.002121
0.000150	-1.876707	-0.710066	0.099970	-0.002267	-0.000643	0.003678
0.000175	2.087168	-0.653474	0.039515	0.002566	-0.000643	0.002712
0.000200	0.127455	0.179237	0.028653	0.000149	0.000162	0.001262
0.000225	-1.354050	-0.888567	-0.035943	-0.001623	-0.000804	-0.001960
0.000250	-1.477344	-0.546580	-0.055569	-0.001784	-0.000482	-0.002927
0.000275	-1.759111	-1.236511	0.007358	-0.002106	-0.001126	-0.000188
0.000300	-0.410516	-0.178234	-0.001130	-0.000495	-0.000160	-0.000188
0.000325	-1.477150	-0.544689	-0.036980	-0.001784	-0.000482	-0.002121
0.000350	0.351933	-1.364609	0.120147	0.000472	-0.001288	0.005612
0.000375	0.769293	-0.510199	-0.047444	0.000955	-0.000482	-0.001638
0.000400	-2.291771	-1.413307	0.052636	-0.002750	-0.001288	0.001584
0.000425	3.266938	-0.985817	-0.010516	0.004016	-0.000965	0.001101
0.000450	0.550976	1.222645	0.017913	0.000633	0.001129	0.000779
0.000475	0.619121	-1.203464	-0.037838	0.000794	-0.001126	-0.001155
0.000500	2.356289	-0.473414	0.067419	0.002888	-0.000482	0.004001
0.000525	1.065292	0.705112	-0.048772	0.001277	0.000646	-0.001799
0.000550	-2.712301	-2.298737	-0.084631	-0.003234	-0.002093	-0.004377
0.000575	-2.310000	-2.106501	0.042381	-0.002750	-0.001932	0.001262
0.000600	2.232686	-0.134454	0.018051	0.002727	-0.000160	0.001745
0.000625	-0.009142	0.004923	0.036655	-1.165240E-5	1.251304E-6	0.001584
0.000650	0.077849	-1.721939	0.050644	0.000149	-0.001610	0.002551
0.000675	1.590926	0.555739	0.101583	0.001922	0.000485	0.004967
0.000700	-0.520544	0.679676	-0.052102	-0.000656	0.000646	-0.002604
0.000725	-5.313078	-0.769023	0.054959	-0.006456	-0.000643	0.000295
0.000750	1.135408	-1.701703	0.085084	0.001438	-0.001610	0.004484
0.000775	1.215735	1.401025	-0.032354	0.001438	0.001290	-0.001155
0.000800	-1.489990	-1.056451	0.035262	-0.001784	-0.000965	0.001101
0.000825	3.972613	0.751304	-0.047006	0.004821	0.000646	-0.000510
0.000850	2.911560	0.568172	0.018229	0.003533	0.000485	0.001906
0.000875	1.401435	3.471598	-0.110679	0.001599	0.003223	-0.004860
0.000900	-4.015596	-1.626676	-0.076531	-0.004845	-0.001449	-0.004699
0.000925	1.435211	-0.320470	0.013823	0.001760	-0.000321	0.001262
0.000950	-2.128875	-0.209415	-0.040366	-0.002589	-0.000160	-0.002604
0.000975	-1.763146	-1.404702	0.054985	-0.002106	-0.001288	0.001906
0.001000	0.506411	-0.500505	0.088939	0.000633	-0.000482	0.004162
0.001025	1.062803	0.552052	0.147565	0.001277	0.000485	0.006739
0.001050	1.161862	-0.670613	0.014957	0.001438	-0.000643	0.001262
0.001075	2.177845	2.807956	0.046173	0.002566	0.002579	0.002390
0.001100	-0.813900	-0.381062	-0.232239	-0.000978	-0.000321	-0.010337
