time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	2.407398	1.831149	-0.055077	0.002878	0.001675	-0.001720
0.000100	-0.713778	-1.333351	-0.071974	-0.000827	-0.001225	-0.003170
0.000200	-2.406007	-0.465317	0.223195	-0.002922	-0.000419	0.008752
0.000300	6.990731	0.335784	-0.165410	0.008516	0.000225	-0.004297
0.000400	2.634790	0.444524	-0.119025	0.003200	0.000386	-0.004136
0.000500	3.432458	0.632432	-0.096207	0.004167	0.000548	-0.002847
0.000600	-1.333158	0.219362	-0.014661	-0.001633	0.000225	-0.001236
0.000700	0.725805	3.189382	-0.044062	0.000784	0.002964	-0.002203
0.000800	-1.640993	3.525629	0.229327	-0.002116	0.003286	0.008591
0.000900	1.705371	0.258437	-0.103392	0.002073	0.000225	-0.003814
0.001000	2.156429	-2.679978	-0.153918	0.002717	-0.002513	-0.005264
0.001100	1.321723	0.763556	-0.179255	0.001589	0.000709	-0.007358
0.001200	1.794451	-1.447997	0.111356	0.002234	-0.001386	0.005852
0.001300	-0.676239	0.063629	0.052632	-0.000827	6.425130E-5	0.001986
0.001400	2.357522	-0.072676	-0.059111	0.002878	-9.684676E-5	-0.001559
0.001500	2.803694	-3.187605	-0.143801	0.003522	-0.002997	-0.004458
0.001600	0.981080	2.847844	-0.040579	0.001106	0.002642	-0.001881
0.001700	2.772393	0.628674	-0.030365	0.003361	0.000548	-0.000270
0.001800	3.855849	1.545855	0.316174	0.004650	0.001353	0.015034
0.001900	1.028198	-0.427544	0.060011	0.001267	-0.000419	0.003113
0.002000	-4.420677	3.308669	0.229302	-0.005499	0.003125	0.007463
0.002100	-0.036039	-0.770545	0.254664	-2.175061E-5	-0.000741	0.011168
0.002200	-0.180461	3.873381	0.019706	-0.000344	0.003608	5.233626E-5
0.002300	-0.699469	-0.807214	-0.002940	-0.000827	-0.000741	-0.000270
0.002400	-0.973476	3.859717	0.008747	-0.001311	0.003608	-0.000753
0.002500	-1.353528	4.400018	0.278638	-0.001794	0.004092	0.010685
0.002600	-0.193727	3.357458	0.051052	-0.000344	0.003125	0.001502
0.002700	-0.995159	-2.019499	0.028130	-0.001149	-0.001869	0.001180
0.002800	1.721884	0.806137	0.177555	0.002073	0.000709	0.008268
0.002900	0.830136	-2.876491	-0.179084	0.001106	-0.002674	-0.006875
0.003000	1.253618	-1.833462	-0.193542	0.001589	-0.001708	-0.007519
0.003100	2.735975	-0.757335	-0.047156	0.003361	-0.000741	-0.000753
0.003200	0.731078	-1.653826	-0.046476	0.000945	-0.001547	-0.001398
0.003300	3.281011	-0.073316	-0.209288	0.004006	-9.684676E-5	-0.007680
0.003400	3.452427	1.342649	0.081346	0.004167	0.001192	0.004724
0.003500	-4.624915	0.541875	0.267630	-0.005660	0.000548	0.009557
0.003600	-8.053332	0.818166	0.116213	-0.009849	0.000870	0.001502
0.003700	5.612730	-1.911182	0.064929	0.006905	-0.001869	0.005530
0.003800	2.232024	0.247749	-0.290650	0.002717	0.000225	-0.011708
0.003900	2.689862	2.527889	-0.051084	0.003200	0.002320	-0.001559
0.004000	-1.178449	1.085736	-0.023562	-0.001472	0.001031	-0.001720
0.004100	-1.904440	-1.365006	-0.198087	-0.002277	-0.001225	-0.009130
0.004200	-1.824784	-3.421063	-0.018208	-0.002116	-0.003158	-0.000914
0.004300	2.157512	-2.669386	-0.049820	0.002717	-0.002513	-0.000753
