time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	-0.472072	0.041091	0.086603	-0.000578	3.703578E-5	0.003548
0.000100	0.702542	-0.470414	-0.023618	0.000872	-0.000446	-0.000641
0.000200	4.683871	0.271805	-0.148175	0.005705	0.000198	-0.004507
0.000300	-4.072189	-1.230081	0.052801	-0.004928	-0.001091	0.000809
0.000400	-0.040248	1.423151	0.002916	-9.455420E-5	0.001326	-0.000157
0.000500	6.284635	0.829431	-0.016327	0.007638	0.000681	0.001776
0.000600	1.510291	0.073548	0.097270	0.001839	3.703578E-5	0.004837
0.000700	3.358545	0.084750	-0.080396	0.004094	3.703578E-5	-0.002090
0.000800	1.750445	-0.802072	-0.046354	0.002161	-0.000768	-0.001124
0.000900	-1.516984	0.530726	-0.038668	-0.001867	0.000520	-0.002413
0.001000	-3.128887	-0.522018	0.065308	-0.003800	-0.000446	0.001615
0.001100	-1.546003	-0.654181	0.220361	-0.001867	-0.000607	0.009025
0.001200	1.395609	0.757214	0.034441	0.001678	0.000681	0.001937
0.001300	-0.815151	2.101546	-0.008942	-0.001061	0.001970	-0.001124
0.001400	-0.995888	0.208243	0.110983	-0.001222	0.000198	0.004353
0.001500	-0.061352	0.573114	0.151822	-9.455420E-5	0.000520	0.006448
0.001600	-2.628301	3.463492	0.059111	-0.003317	0.003259	0.000809
0.001700	-1.697413	3.663954	0.184754	-0.002189	0.003420	0.006609
0.001800	-0.387671	-1.711116	-0.148500	-0.000417	-0.001574	-0.006279
0.001900	-0.638990	3.821361	-0.133289	-0.000900	0.003581	-0.006762
0.002000	2.602373	1.461257	-0.033670	0.003127	0.001326	-0.000641
0.002100	-3.775301	-0.006069	0.136982	-0.004605	3.703578E-5	0.004353
0.002200	-0.597530	0.361893	-0.141218	-0.000739	0.000359	-0.006440
0.002300	2.811498	-0.618940	-0.111589	0.003450	-0.000607	-0.003540
0.002400	2.113893	-2.019678	-0.170352	0.002644	-0.001896	-0.006118
0.002500	2.114898	3.013663	6.556050E-5	0.002483	0.002776	0.000326
0.002600	-1.251589	0.545620	0.066604	-0.001544	0.000520	0.002259
0.002700	3.476488	-0.438290	-0.139549	0.004255	-0.000446	-0.004507
0.002800	-0.011475	2.476939	0.155855	-9.455420E-5	0.002292	0.006287
0.002900	2.990133	6.148591	0.075757	0.003450	0.005675	0.003387
0.003000	0.606939	0.914768	0.005597	0.000711	0.000843	0.000326
0.003100	1.851050	-2.009605	-0.030251	0.002322	-0.001896	-0.000157
0.003200	1.571655	-2.547611	-0.174815	0.002000	-0.002379	-0.006440
0.003300	-2.199932	-0.340470	0.005062	-0.002672	-0.000285	-0.000641
0.003400	5.476499	0.281686	-0.174393	0.006672	0.000198	-0.005312
0.003500	0.469066	0.727970	-0.109087	0.000550	0.000681	-0.004668
0.003600	-4.171595	-0.010820	0.151950	-0.005089	3.703578E-5	0.004837
0.003700	2.064905	1.108703	-0.015121	0.002483	0.001004	3.826611E-6
0.003800	1.488699	-0.652557	-0.236430	0.001839	-0.000607	-0.009501
0.003900	6.725534	2.557710	-0.098604	0.008121	0.002292	-0.001929
0.004000	-5.625333	-0.034672	0.143631	-0.006861	3.703578E-5	0.003870
0.004100	1.386432	0.538710	-0.412397	0.001678	0.000520	-0.017395
0.004200	-1.029561	-1.150907	0.358154	-0.001222	-0.001091	0.015308
0.004300	-2.701731	0.556949	0.404038	-0.003317	0.000520	0.016275
0.004400	3.672256	1.859488	0.314473	0.004416	0.001648	0.014825
0.004500	1.602244	3.547462	0.226615	0.001839	0.003259	0.009831
0.004600	6.535721	0.318189	0.019911	0.007960	0.000198	0.003548
0.004700	0.096233	1.596331	-0.016240	6.654401E-5	0.001487	-0.000963
0.004800	0.311133	-0.298652	0.025515	0.000389	-0.000285	0.001293
0.004900	-3.739694	-3.651508	0.001944	-0.004444	-0.003346	-0.000802
0.005000	1.050946	-2.221345	-0.287288	0.001355	-0.002057	-0.011595
0.005100	2.790394	3.554528	0.111072	0.003289	0.003259	0.005320
0.005200	1.315606	-2.213638	-0.252654	0.001678	-0.002057	-0.009984
0.005300	-1.373103	-4.118496	0.144240	-0.001544	-0.003829	0.006448
0.005400	-0.178663	1.231056	-0.163817	-0.000256	0.001165	-0.007407
0.005500	2.460621	-3.915725	-0.159612	0.003127	-0.003668	-0.005151
0.005600	2.595927	1.140762	0.217730	0.003127	0.001004	0.010314
0.005700	-4.126990	-3.310797	0.010886	-0.004928	-0.003024	-0.000641
0.005800	-4.866596	-1.257363	-0.091998	-0.005894	-0.001091	-0.005796
0.005900	7.976053	-0.046546	-0.389570	0.009732	-0.000124	-0.013528
0.006000	4.479632	2.528517	-0.036091	0.005383	0.002292	-0.000157
0.006100	2.116560	3.029929	0.159930	0.002483	0.002776	0.007253
0.006200	-0.070853	0.222734	0.109517	-9.455420E-5	0.000198	0.004676
0.006300	-2.520747	-2.442134	-0.201610	-0.002994	-0.002218	-0.009340
0.006400	3.245178	0.781278	-0.016822	0.003933	0.000681	0.000487
0.006500	0.103129	1.792516	0.211249	6.654401E-5	0.001648	0.008864
0.006600	-4.645961	2.055996	0.139468	-0.005733	0.001970	0.003709
0.006700	-0.617126	-0.473390	0.152680	-0.000739	-0.000446	0.006448
0.006800	-0.560494	1.753956	-0.064943	-0.000739	0.001648	-0.003379
0.006900	-2.736124	-0.680540	0.146297	-0.003317	-0.000607	0.005320
0.007000	-2.320157	0.160251	-0.155134	-0.002833	0.000198	-0.007729
