time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	-5.692159	1.942726	-0.104631	-0.007003	0.001903	-0.007290
0.000100	-1.416003	-1.263446	0.018470	-0.001687	-0.001158	0.000443
0.000200	4.838262	0.544732	-0.182960	0.005885	0.000453	-0.006001
0.000300	2.880830	1.399762	0.025526	0.003468	0.001259	0.002054
0.000400	1.682175	1.032481	0.002101	0.002019	0.000937	0.000604
0.000500	2.556561	-0.864419	-0.077754	0.003146	-0.000835	-0.002135
0.000600	1.021490	1.022671	0.008459	0.001213	0.000937	0.000604
0.000700	-0.975491	0.461050	-0.100985	-0.001203	0.000453	-0.004873
0.000800	-2.179471	-0.215756	0.234805	-0.002653	-0.000191	0.009303
0.000900	-2.580536	-0.395887	0.226762	-0.003137	-0.000352	0.008820
0.001000	1.231001	3.969761	0.041473	0.001374	0.003675	0.001571
0.001100	1.295072	1.375083	0.029632	0.001535	0.001259	0.001571
0.001200	-0.272304	2.045111	0.058863	-0.000398	0.001903	0.002054
0.001300	3.554857	1.926253	-0.004743	0.004274	0.001742	0.000926
0.001400	0.765519	1.357399	-0.061944	0.000891	0.001259	-0.002618
0.001500	1.549535	1.025601	-0.044958	0.001857	0.000937	-0.001490
0.001600	-3.233846	-0.076123	0.070947	-0.003942	-2.994482E-5	0.001732
0.001700	-0.815779	1.505073	-0.064569	-0.001042	0.001420	-0.003424
0.001800	4.968026	0.394769	0.023259	0.006046	0.000292	0.003020
0.001900	3.735132	-1.208489	-0.243036	0.004596	-0.001158	-0.008740
0.002000	2.399647	-1.752355	-0.280765	0.002985	-0.001641	-0.010834
0.002100	-1.966428	2.894608	0.171862	-0.002492	0.002709	0.006081
0.002200	-0.145981	1.861480	-0.065800	-0.000237	0.001742	-0.003262
0.002300	-2.448205	-0.392033	0.244079	-0.002976	-0.000352	0.009625
0.002400	6.096178	3.165083	-0.124351	0.007335	0.002870	-0.003424
0.002500	-0.049334	0.486511	0.005365	-7.575061E-5	0.000453	0.000121
0.002600	-5.115411	3.709283	0.168726	-0.006359	0.003514	0.004470
0.002700	-1.197494	2.029107	0.045458	-0.001526	0.001903	0.001087
0.002800	-3.014679	-1.800644	0.087382	-0.003620	-0.001641	0.002859
0.002900	-2.937267	1.144863	0.125386	-0.003620	0.001098	0.003987
0.003000	5.916499	1.410843	-0.338321	0.007174	0.001259	-0.012445
0.003100	0.675884	2.929688	0.105534	0.000730	0.002709	0.004309
0.003200	-4.435415	-0.600626	0.202965	-0.005392	-0.000513	0.007048
0.003300	1.454435	2.415701	0.032588	0.001696	0.002225	0.001571
0.003400	0.355572	0.832942	-0.052807	0.000408	0.000776	-0.002296
0.003500	-0.125316	-2.444999	0.104919	-7.575061E-5	-0.002285	0.004954
0.003600	0.876475	0.508568	0.078254	0.001052	0.000453	0.003665
0.003700	-0.991940	-0.214743	0.059779	-0.001203	-0.000191	0.002215
0.003800	1.925809	0.190908	0.193076	0.002341	0.000131	0.009142
0.003900	-1.843984	-2.479206	0.035941	-0.002170	-0.002285	0.001248
0.004000	6.233588	3.347342	-0.054280	0.007496	0.003031	-0.000363
0.004100	2.405925	-1.562223	-0.112761	0.002985	-0.001480	-0.003585
0.004200	-2.570518	0.088260	-0.116877	-0.003137	0.000131	-0.006162
0.004300	1.681208	1.023023	-0.090843	0.002019	0.000937	-0.003424
0.004400	0.520402	-2.967757	-0.033675	0.000730	-0.002769	-0.000685
0.004500	-3.545895	3.188910	-0.090302	-0.004425	0.003031	-0.006001
0.004600	1.331838	2.764497	0.079882	0.001535	0.002548	0.003504
0.004700	-1.838055	-2.292478	0.170486	-0.002170	-0.002124	0.007048
0.004800	-6.035715	-1.153712	0.115730	-0.007325	-0.000997	0.002698
0.004900	-1.742491	1.345466	0.211308	-0.002170	0.001259	0.008176
0.005000	0.913474	-3.123253	0.077056	0.001213	-0.002930	0.004309
0.005100	-4.483577	2.664549	0.001994	-0.005553	0.002548	-0.002296
0.005200	0.352504	0.674207	0.087763	0.000408	0.000614	0.003826
0.005300	-1.857521	2.025727	0.115018	-0.002331	0.001903	0.003826
0.005400	1.753117	-1.237541	-0.220244	0.002180	-0.001158	-0.008579
0.005500	2.278132	-1.392967	-0.129373	0.002824	-0.001319	-0.004390
0.005600	-1.430468	3.232408	0.008321	-0.001848	0.003031	-0.000846
0.005700	0.115032	-3.318727	-0.020117	0.000246	-0.003091	-0.000202
0.005800	-3.853923	1.469781	0.061341	-0.004748	0.001420	0.000765
0.005900	1.626987	-1.052019	-0.076993	0.002019	-0.000997	-0.002457
0.006000	-0.805699	1.861127	0.033503	-0.001042	0.001742	0.000765
0.006100	-0.584985	0.151737	0.198648	-0.000720	0.000131	0.008337
0.006200	-6.529082	0.212344	0.018638	-0.007970	0.000292	-0.001974
0.006300	2.812184	-1.202552	-0.040811	0.003468	-0.001158	-0.000363
0.006400	-3.581037	1.815384	0.015594	-0.004425	0.001742	-0.001168
0.006500	2.696342	-0.530235	-0.215174	0.003307	-0.000513	-0.008095
0.006600	-0.696134	0.998677	0.039861	-0.000881	0.000937	0.001248
0.006700	0.133530	2.400620	0.089918	8.534760E-5	0.002225	0.003504
0.006800	-1.987014	-2.845167	-0.138932	-0.002331	-0.002608	-0.006323
0.006900	-1.256021	-0.216775	0.080911	-0.001526	-0.000191	0.003020
0.007000	-1.173607	2.906380	0.164232	-0.001526	0.002709	0.006081
0.007100	-2.350230	-1.625291	0.007373	-0.002814	-0.001480	-0.000363
0.007200	4.287373	-0.325258	-0.147937	0.005240	-0.000352	-0.004551
0.007300	-1.142692	-0.913682	0.013618	-0.001365	-0.000835	0.000282
0.007400	-2.523478	1.835620	0.050034	-0.003137	0.001742	0.000765
0.007500	0.762180	1.196017	0.052603	0.000891	0.001098	0.002376
0.007600	0.187288	-0.552382	-0.042302	0.000246	-0.000513	-0.001651
0.007700	0.752447	0.843367	-0.012009	0.000891	0.000776	-0.000363
0.007800	3.526587	0.877383	-0.109351	0.004274	0.000776	-0.003424
0.007900	-0.270834	-2.964019	0.126383	-0.000237	-0.002769	0.005920
0.008000	-1.556751	-1.607087	0.062945	-0.001848	-0.001480	0.002376
0.008100	1.806938	0.704869	0.163002	0.002180	0.000614	0.007692
0.008200	-0.645870	-2.117220	0.007317	-0.000720	-0.001963	0.000443
0.008300	-0.415334	1.679150	-0.116010	-0.000559	0.001581	-0.005518
0.008400	-1.956966	3.244610	0.210449	-0.002492	0.003031	0.007692
0.008500	1.650488	-0.178528	0.004604	0.002019	-0.000191	0.000926
0.008600	-1.092584	0.992413	0.039958	-0.001365	0.000937	0.001087
0.008700	-0.213506	-0.729864	-0.024321	-0.000237	-0.000674	-0.001007
0.008800	1.120278	-0.202643	-0.150174	0.001374	-0.000191	-0.006001
0.008900	0.589010	-0.365821	0.028943	0.000730	-0.000352	0.001571
0.009000	-0.308297	0.663262	0.082968	-0.000398	0.000614	0.003343
0.009100	2.562877	-0.673908	0.093969	0.003146	-0.000674	0.005276
0.009200	-0.573498	0.650259	-0.003715	-0.000720	0.000614	-0.000524
0.009300	-3.188623	1.653457	0.063123	-0.003942	0.001581	0.001087
0.009400	0.300385	-1.251558	-0.131901	0.000408	-0.001158	-0.005357
0.009500	2.160343	-0.868413	-0.055350	0.002663	-0.000835	-0.001329
0.009600	1.704013	1.889705	-0.076167	0.002019	0.001742	-0.002940
0.009700	1.908368	-0.365871	-0.177097	0.002341	-0.000352	-0.006807
0.009800	0.739182	0.327444	0.019337	0.000891	0.000292	0.001087
0.009900	1.833159	1.733689	0.070568	0.002180	0.001581	0.003504
0.010000	-0.167548	1.006904	0.038493	-0.000237	0.000937	0.001409
0.010100	2.546557	-1.219716	-0.168390	0.003146	-0.001158	-0.006001
0.010200	0.064072	-0.209638	-0.054492	8.534760E-5	-0.000191	-0.002296
0.010300	-0.326409	-0.028797	0.083867	-0.000398	-2.994482E-5	0.003504
0.010400	2.182761	-0.005515	-0.077851	0.002663	-2.994482E-5	-0.002457
0.010500	0.767104	1.372909	0.090485	0.000891	0.001259	0.003987
0.010600	2.333475	0.693046	-0.035409	0.002824	0.000614	-0.000685
0.010700	-0.591533	-0.041043	0.004620	-0.000720	-2.994482E-5	-4.046760E-5
0.010800	2.437650	-0.350836	-0.111546	0.002985	-0.000352	-0.003746
0.010900	2.077890	1.031558	-0.068634	0.002502	0.000937	-0.002296
0.011000	2.018938	-1.218485	-0.074077	0.002502	-0.001158	-0.002135
0.011100	1.227006	-1.221557	0.019062	0.001535	-0.001158	0.001571
0.011200	-0.754430	3.778570	0.171376	-0.001042	0.003514	0.006403
0.011300	1.777159	-0.358754	-0.086599	0.002180	-0.000352	-0.002940
0.011400	1.439353	1.881998	-0.110801	0.001696	0.001742	-0.004551
0.011500	1.231041	-1.053366	-0.028564	0.001535	-0.000997	-0.000524
0.011600	-0.737747	-0.566873	-0.040836	-0.000881	-0.000513	-0.001974
0.011700	4.051061	0.716661	-0.070528	0.004918	0.000614	-0.001490
