time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	1.700815	0.720551	0.033833	0.002051	0.000643	0.002046
0.000100	-3.954618	1.667273	0.018385	-0.004876	0.001609	-0.001176
0.000200	2.182477	-1.017447	-0.123293	0.002695	-0.000968	-0.004237
0.000300	-0.836859	4.669634	0.142393	-0.001171	0.004348	0.004945
0.000400	-2.516401	-3.999093	0.202939	-0.002943	-0.003707	0.008490
0.000500	-0.854299	-0.910649	-0.301536	-0.001010	-0.000807	-0.013259
0.000600	-0.390106	-3.463125	0.039713	-0.000366	-0.003224	0.002207
0.000700	-3.407494	-2.651785	-0.016743	-0.004071	-0.002418	-0.001660
0.000800	-3.951550	1.826008	-0.122185	-0.004876	0.001771	-0.007298
0.000900	6.340147	1.317630	0.080667	0.007689	0.001126	0.005912
0.001000	1.503409	-1.721965	-0.142060	0.001890	-0.001613	-0.005204
0.001100	-1.803352	-1.932398	0.004277	-0.002138	-0.001774	-0.000210
0.001200	-7.322265	-0.812118	-0.026609	-0.008904	-0.000646	-0.004076
0.001300	3.807954	0.554246	-0.228872	0.004628	0.000482	-0.008426
0.001400	-0.523249	1.548582	0.018079	-0.000688	0.001448	0.000274
0.001500	5.922763	0.591691	-0.189734	0.007206	0.000482	-0.005848
0.001600	-0.146265	0.849547	-0.111241	-0.000204	0.000804	-0.005043
0.001700	0.583840	-1.554267	-0.050663	0.000762	-0.001451	-0.001660
0.001800	-4.144547	-0.573383	0.125747	-0.005037	-0.000485	0.003818
0.001900	2.347460	0.206872	-0.015534	0.002856	0.000160	0.000274
0.002000	0.210852	-0.687419	0.027313	0.000279	-0.000646	0.001401
0.002100	-3.741304	-0.243219	-0.092289	-0.004554	-0.000163	-0.005526
0.002200	-1.753359	-0.027439	0.019463	-0.002138	-1.552576E-6	0.000113
0.002300	-0.168529	-0.011838	-0.073869	-0.000204	-1.552576E-6	-0.003271
0.002400	-1.593571	1.017341	0.063315	-0.001977	0.000965	0.001885
0.002500	-0.715962	-0.719311	-0.142239	-0.000849	-0.000646	-0.006331
0.002600	-0.830774	-0.165629	0.218053	-0.001010	-0.000163	0.009134
0.002700	-2.050480	-1.253720	-0.087024	-0.002460	-0.001129	-0.004398
0.002800	0.083253	-0.516272	0.029289	0.000118	-0.000485	0.001401
0.002900	-1.401592	-1.745458	0.079240	-0.001654	-0.001613	0.003173
0.003000	-0.823012	-4.855778	0.019302	-0.000849	-0.004512	0.001401
0.003100	0.023102	-2.778042	-0.091405	0.000118	-0.002579	-0.003432
0.003200	0.632981	0.342370	-0.117267	0.000762	0.000321	-0.004882
0.003300	-3.739100	-0.221656	0.119624	-0.004554	-0.000163	0.003657
0.003400	-2.049629	-1.245398	-0.005233	-0.002460	-0.001129	-0.000854
0.003500	-0.577973	-0.531378	-0.016402	-0.000688	-0.000485	-0.000854
0.003600	1.002436	-0.687752	-0.099286	0.001245	-0.000646	-0.003754
0.003700	-0.597902	-1.241217	-0.190238	-0.000688	-0.001129	-0.008265
0.003800	-2.281172	-0.028099	0.095188	-0.002782	-1.552576E-6	0.003173
0.003900	0.893375	0.179615	-0.057313	0.001084	0.000160	-0.002143
0.004000	2.956954	-1.700004	-0.152330	0.003662	-0.001613	-0.005043
0.004100	1.372974	-1.707282	0.022794	0.001729	-0.001613	0.001885
0.004200	-3.492784	-0.908278	0.132851	-0.004232	-0.000807	0.004462
0.004300	3.153276	0.731920	-0.080534	0.003823	0.000643	-0.002304
0.004400	0.999406	-0.846108	0.045003	0.001245	-0.000807	0.002529
0.004500	0.238156	0.351994	0.038976	0.000279	0.000321	0.001724
0.004600	-1.611760	0.324525	0.056779	-0.001977	0.000321	0.001724
0.004700	-0.669270	1.024644	-0.008788	-0.000849	0.000965	-0.000854
0.004800	-0.008160	1.038615	0.025749	-4.335779E-5	0.000965	0.000918
0.004900	-0.573628	-0.360160	-0.034286	-0.000688	-0.000324	-0.001660
0.005000	-1.068633	0.861158	0.146751	-0.001332	0.000804	0.005751
0.005100	-0.829020	-0.019757	-0.048922	-0.001010	-1.552576E-6	-0.002465
0.005200	-1.743859	0.322941	0.061768	-0.002138	0.000321	0.001885
