time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	-2.355395	1.909801	0.124077	-0.002935	0.001802	0.004031
0.000100	2.254854	1.450066	-0.011771	0.002704	0.001318	0.000165
0.000200	2.812020	2.510189	0.121211	0.003348	0.002285	0.005964
0.000300	1.288051	-0.131488	-0.105873	0.001576	-0.000131	-0.004024
0.000400	0.756474	-0.297692	0.043502	0.000932	-0.000293	0.002259
0.000500	-1.685945	2.262804	0.089386	-0.002129	0.002124	0.002742
0.000600	-3.843063	0.652999	-0.097370	-0.004707	0.000674	-0.005957
0.000700	0.036760	-2.558302	0.036981	0.000126	-0.002387	0.002098
0.000800	-0.301047	-0.317550	0.012779	-0.000357	-0.000293	0.000487
0.000900	-0.485149	2.779741	-0.116987	-0.000679	0.002607	-0.005796
0.001000	2.538207	2.155506	0.077731	0.003026	0.001963	0.004031
0.001100	2.263891	1.795906	-0.014079	0.002704	0.001641	3.747838E-6
0.001200	2.005625	-3.044038	0.056689	0.002543	-0.002870	0.003870
0.001300	-0.559222	-0.004384	-0.269537	-0.000679	2.966294E-5	-0.011918
0.001400	-0.610968	-2.055215	-0.017749	-0.000679	-0.001904	-0.000641
0.001500	3.486202	3.038192	0.105813	0.004154	0.002768	0.005481
0.001600	-4.032798	-1.585766	0.028581	-0.004868	-0.001420	-0.000157
0.001700	1.093274	2.475225	0.044798	0.001254	0.002285	0.001937
0.001800	-2.031357	-0.851792	0.131294	-0.002451	-0.000776	0.004998
0.001900	4.708089	-0.747188	0.111055	0.005765	-0.000776	0.006931
0.002000	-2.104889	-3.630621	0.030793	-0.002451	-0.003353	0.001131
0.002100	0.321774	3.186910	0.360103	0.000287	0.002929	0.015147
0.002200	-5.712613	-0.210131	0.210613	-0.006962	-0.000131	0.006770
0.002300	0.388914	0.750966	0.207691	0.000448	0.000674	0.009025
0.002400	-5.454965	-0.399744	0.006606	-0.006640	-0.000293	-0.001929
0.002500	-3.706387	-4.195434	-0.171693	-0.004385	-0.003837	-0.008212
0.002600	3.530885	-0.261029	-0.027816	0.004315	-0.000293	0.000326
0.002700	2.738218	-0.271288	-0.005315	0.003348	-0.000293	0.000970
0.002800	-3.070223	-5.197800	0.077965	-0.003579	-0.004803	0.003065
0.002900	0.075049	-6.048790	-0.275805	0.000287	-0.005609	-0.010790
0.003000	-7.738910	3.192669	-0.030063	-0.009540	0.003091	-0.005151
0.003100	1.449864	1.061811	-0.302972	0.001737	0.000996	-0.012723
0.003200	1.585790	1.100846	0.060098	0.001898	0.000996	0.003065
0.003300	4.402472	-2.314014	0.058925	0.005442	-0.002226	0.004837
0.003400	0.769043	0.211422	-0.054764	0.000932	0.000191	-0.002091
0.003500	-2.742615	2.251269	0.140454	-0.003418	0.002124	0.004514
0.003600	-0.176786	-5.673584	0.051594	-3.492908E-5	-0.005287	0.003226
0.003700	1.735151	-3.237338	-0.101337	0.002220	-0.003031	-0.003057
0.003800	2.764517	-4.265216	-0.164069	0.003509	-0.003998	-0.005151
0.003900	-0.862789	-1.551160	-0.124625	-0.001002	-0.001420	-0.005474
0.004000	1.930314	-0.816763	-0.141074	0.002382	-0.000776	-0.005151
0.004100	-0.319700	-1.014905	-0.038371	-0.000357	-0.000937	-0.001607
0.004200	-2.140612	0.013684	0.154678	-0.002613	2.966294E-5	0.005803
0.004300	-0.843091	-0.843591	0.026905	-0.001002	-0.000776	0.000970
0.004400	-4.665831	-0.552759	0.080062	-0.005673	-0.000454	0.001615
0.004500	2.718211	-0.981883	-0.186586	0.003348	-0.000937	-0.006762
0.004600	0.880154	-0.635896	0.100305	0.001093	-0.000615	0.004837
0.004700	-1.877691	0.004368	0.022012	-0.002290	2.966294E-5	0.000165
0.004800	-0.079816	-1.893173	-0.208019	-3.492908E-5	-0.001742	-0.008696
0.004900	0.519079	0.733635	0.016813	0.000609	0.000674	0.000809
0.005000	1.364885	-2.215161	-0.197392	0.001737	-0.002065	-0.007568
0.005100	0.567911	2.627246	-0.079533	0.000609	0.002446	-0.003702
0.005200	1.424765	0.043961	-0.102722	0.001737	2.966294E-5	-0.003863
0.005300	3.117831	-0.944599	0.118174	0.003831	-0.000937	0.006609
0.005400	0.153698	-3.091178	-0.118833	0.000287	-0.002870	-0.004507
0.005500	0.081635	-0.832127	-0.004303	0.000126	-0.000776	3.747838E-6
0.005600	-1.764324	-0.692160	-0.041562	-0.002129	-0.000615	-0.002413
0.005700	0.860031	-1.347627	-0.092120	0.001093	-0.001259	-0.003379
0.005800	2.479758	-0.089619	0.120620	0.003026	-0.000131	0.006287
0.005900	3.512966	-0.951196	-0.008328	0.004315	-0.000937	0.001293
0.006000	2.450018	-1.152864	-0.125264	0.003026	-0.001098	-0.004185
0.006100	0.774354	0.392097	0.020296	0.000932	0.000352	0.001131
