time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	1.184663	0.818752	0.020909	0.001418	0.000743	0.001250
0.000100	1.940719	-0.558890	-0.036972	0.002385	-0.000546	-0.000683
0.000200	-0.943372	0.265762	0.016834	-0.001159	0.000260	0.000284
0.000300	-0.570191	-0.599195	-0.042553	-0.000676	-0.000546	-0.001972
0.000400	2.342286	-0.373841	0.019403	0.002868	-0.000385	0.001895
0.000500	-2.251205	0.764713	0.024229	-0.002770	0.000743	-3.846760E-5
0.000600	3.013747	-0.001168	0.178036	0.003674	-6.235646E-5	0.008983
0.000700	2.054202	-1.254283	-0.089393	0.002546	-0.001190	-0.002777
0.000800	0.811367	1.682574	0.069142	0.000935	0.001549	0.003022
0.000900	-2.869850	-2.698891	0.078424	-0.003415	-0.002479	0.002700
0.001000	1.317458	0.827145	0.082839	0.001580	0.000743	0.003989
0.001100	1.886111	-2.637715	-0.060299	0.002385	-0.002479	-0.001327
0.001200	0.469526	-1.268370	0.018811	0.000613	-0.001190	0.001250
0.001300	1.652867	-1.437061	-0.123460	0.002063	-0.001351	-0.004388
0.001400	5.129652	0.175719	-0.113003	0.006251	9.874160E-5	-0.002777
0.001500	-2.943538	-0.455728	0.036807	-0.003576	-0.000385	0.000445
0.001600	0.647504	0.469225	0.069199	0.000774	0.000421	0.003183
0.001700	-1.452647	0.961321	0.132555	-0.001804	0.000904	0.004956
0.001800	0.118222	0.454189	0.003648	0.000130	0.000421	0.000123
0.001900	0.095881	-0.407953	0.033585	0.000130	-0.000385	0.001573
0.002000	-0.791692	0.973780	0.152221	-0.000998	0.000904	0.006083
0.002100	-1.500074	-0.789821	-0.071534	-0.001804	-0.000707	-0.003583
0.002200	0.128419	0.811378	0.112873	0.000130	0.000743	0.004794
0.002300	-0.424093	-0.074500	-0.008251	-0.000515	-6.235646E-5	-0.000522
0.002400	-1.116582	3.727051	0.063213	-0.001481	0.003482	0.001573
0.002500	-0.428167	-0.243070	0.035658	-0.000515	-0.000223	0.001411
0.002600	0.897508	-0.052610	0.001340	0.001096	-6.235646E-5	0.000445
0.002700	3.602537	-2.625448	-0.206952	0.004479	-0.002479	-0.006966
0.002800	-2.073149	2.503064	0.082052	-0.002609	0.002354	0.002217
0.002900	-2.319813	-1.837223	-0.038390	-0.002770	-0.001673	-0.002294
0.003000	-2.998417	2.486304	0.061212	-0.003737	0.002354	0.000928
0.003100	0.195867	-1.621539	-0.009797	0.000291	-0.001512	-3.846760E-5
0.003200	3.044313	1.198871	0.067718	0.003674	0.001065	0.003989
0.003300	3.166059	0.841752	-0.061368	0.003835	0.000743	-0.001488
