time (secs)	Normal N	Axial N	Pitch Nm	Normal V	Axial V	Pitch V
0.000000	5.103337	-1.331788	-0.068825	0.006267	-0.001309	-0.000591
0.000100	2.666732	1.414301	0.100450	0.003206	0.001268	0.005209
0.000200	-2.742346	1.674780	0.101947	-0.003399	0.001591	0.002954
0.000300	0.667920	0.706051	0.250545	0.000790	0.000624	0.011008
0.000400	-1.577272	0.812516	-0.054296	-0.001949	0.000785	-0.003168
0.000500	-0.664650	-4.704099	-0.016381	-0.000660	-0.004370	-0.000107
0.000600	3.608333	2.105719	-0.050626	0.004334	0.001913	-0.001074
0.000700	1.942481	-1.019418	0.093225	0.002401	-0.000987	0.005048
0.000800	-3.738865	3.925015	0.273709	-0.004688	0.003685	0.009559
0.000900	-5.650324	1.622157	0.036978	-0.006943	0.001591	-0.001074
0.001000	-0.812812	-0.354187	0.260305	-0.000982	-0.000343	0.011008
0.001100	0.224624	-1.045681	0.102321	0.000306	-0.000987	0.004726
0.001200	4.187300	-1.000817	-0.073386	0.005139	-0.000987	-0.001235
0.001300	-1.020879	1.865073	0.004330	-0.001305	0.001752	-0.000591
0.001400	-2.045745	-1.957823	-0.009707	-0.002432	-0.001792	-0.000913
0.001500	1.349244	1.561359	0.050669	0.001595	0.001430	0.002470
0.001600	-0.863810	-2.268982	0.148456	-0.000982	-0.002115	0.006498
0.001700	2.951336	2.260696	-0.125354	0.003528	0.002074	-0.004618
0.001800	-4.502473	0.076536	-0.032857	-0.005493	0.000141	-0.003329
0.001900	1.991120	0.872301	-0.021710	0.002401	0.000785	-0.000268
0.002000	0.959923	1.753549	0.300561	0.001112	0.001591	0.013103
0.002100	7.728233	-1.981958	-0.067334	0.009489	-0.001954	0.000698
0.002200	-2.817555	-1.249164	0.275856	-0.003399	-0.001148	0.011008
0.002300	-1.639874	3.421569	0.098821	-0.002110	0.003202	0.002954
0.002400	3.150637	-0.301757	0.158955	0.003851	-0.000343	0.008270
0.002500	1.327328	0.703378	0.121501	0.001595	0.000624	0.005692
0.002600	-0.691684	-0.717358	0.071736	-0.000821	-0.000665	0.002954
0.002700	-0.980773	-1.607635	-0.133722	-0.001144	-0.001470	-0.005907
0.002800	5.475976	2.821464	-0.106505	0.006589	0.002557	-0.002846
0.002900	-4.692867	2.854845	0.103647	-0.005815	0.002718	0.001987
0.003000	0.338299	3.284322	0.142244	0.000306	0.003041	0.005692
0.003100	-3.230517	-1.803129	-0.004994	-0.003882	-0.001631	-0.001235
0.003200	-3.213101	-1.117879	-0.072813	-0.003882	-0.000987	-0.004296
0.003300	-0.466496	-2.125546	-0.204124	-0.000499	-0.001954	-0.008646
0.003400	-3.733360	-0.915924	0.293603	-0.004527	-0.000826	0.011331
0.003500	-3.238472	2.885128	0.175168	-0.004043	0.002718	0.005692
0.003600	0.594325	-1.944684	-0.291666	0.000790	-0.001792	-0.012029
0.003700	2.694461	2.457875	0.153009	0.003206	0.002235	0.007303
0.003800	-0.778559	-4.012867	-0.004855	-0.000821	-0.003726	0.000215
0.003900	3.431800	0.510970	-0.397731	0.004173	0.000463	-0.015895
0.004000	-0.358107	1.895311	0.198731	-0.000499	0.001752	0.008109
0.004100	-0.121408	0.857175	0.158500	-0.000177	0.000785	0.006659
0.004200	-5.918516	-3.572328	0.024546	-0.007104	-0.003242	-0.000752
0.004300	-0.266332	0.472678	-0.198544	-0.000338	0.000463	-0.008807
0.004400	1.106963	2.416172	-0.010185	0.001273	0.002235	-0.000430
0.004500	1.636593	2.434613	0.088827	0.001917	0.002235	0.004081
0.004600	5.976253	1.780442	-0.216200	0.007234	0.001591	-0.007196
0.004700	2.216370	4.359525	0.217896	0.002562	0.004007	0.009559
0.004800	5.429013	1.074861	-0.265981	0.006589	0.000946	-0.009451
0.004900	2.912946	0.855394	-0.331751	0.003528	0.000785	-0.013317
0.005000	-0.207572	-2.302675	-0.285446	-0.000177	-0.002115	-0.012029
0.005100	-1.819823	-3.358823	-0.214930	-0.002110	-0.003081	-0.009451
0.005200	-3.080886	-1.115160	-0.066649	-0.003721	-0.000987	-0.003974
0.005300	-1.139519	2.381304	-0.003438	-0.001466	0.002235	-0.001074
0.005400	0.274191	0.855117	0.076612	0.000306	0.000785	0.003276
0.005500	4.318663	-1.006421	-0.149013	0.005300	-0.000987	-0.004457
0.005600	0.546381	-3.829594	-0.109811	0.000790	-0.003564	-0.003813
0.005700	4.847250	-0.998194	-0.150381	0.005945	-0.000987	-0.004296
0.005800	0.433400	1.894222	0.064697	0.000467	0.001752	0.002631
0.005900	5.518517	-0.627412	-0.010337	0.006750	-0.000665	0.001987
0.006000	2.489256	-0.318376	0.098393	0.003045	-0.000343	0.005370
0.006100	4.354269	0.371645	-0.210295	0.005300	0.000302	-0.007357
0.006200	-0.175267	-1.085614	-0.228464	-0.000177	-0.000987	-0.009773
0.006300	-0.457576	3.242664	-0.143831	-0.000660	0.003041	-0.007035
0.006400	0.879030	3.797501	0.001714	0.000951	0.003524	-0.000268
0.006500	1.525715	-1.739304	-0.117692	0.001917	-0.001631	-0.004135
0.006600	1.981890	0.524569	-0.037991	0.002401	0.000463	-0.000913
0.006700	-1.061602	-4.715281	-0.064615	-0.001144	-0.004370	-0.002363
0.006800	-1.126021	-2.124007	-0.086233	-0.001305	-0.001954	-0.003813
0.006900	-1.645533	3.237490	-0.009699	-0.002110	0.003041	-0.001718
